scenario_id,light_id,ldr_min,ldr_max,hour_min,hour_max,brightness_pct,energy_mode,saving_pct,timestamp,cached_at
1,ALL,0,299,0,5,50,ECO,50,2026-03-14 13:00:14.884000,2026-03-14 20:41:10
2,ALL,0,299,6,8,95,FULL,5,2026-03-14 13:00:14.884000,2026-03-14 20:41:10
3,ALL,0,299,9,17,80,NORMAL,20,2026-03-14 13:00:14.884000,2026-03-14 20:41:10
4,ALL,0,299,18,21,100,FULL,0,2026-03-14 13:00:14.884000,2026-03-14 20:41:10
5,ALL,0,299,22,23,60,NORMAL,40,2026-03-14 13:00:14.884000,2026-03-14 20:41:10
6,ALL,300,599,0,5,20,ECO,80,2026-03-14 13:00:14.884000,2026-03-14 20:41:10
7,ALL,300,599,6,8,60,NORMAL,40,2026-03-14 13:00:14.884000,2026-03-14 20:41:10
8,ALL,300,599,9,17,30,ECO,70,2026-03-14 13:00:14.884000,2026-03-14 20:41:10
9,ALL,300,599,18,21,80,FULL,20,2026-03-14 13:00:14.884000,2026-03-14 20:41:10
10,ALL,300,599,22,23,35,NORMAL,65,2026-03-14 13:00:14.884000,2026-03-14 20:41:10
11,ALL,600,1023,0,5,10,ECO,90,2026-03-14 13:00:14.884000,2026-03-14 20:41:10
12,ALL,600,1023,6,8,30,ECO,70,2026-03-14 13:00:14.884000,2026-03-14 20:41:10
13,ALL,600,1023,9,17,5,ECO,95,2026-03-14 13:00:14.884000,2026-03-14 20:41:10
14,ALL,600,1023,18,21,50,NORMAL,50,2026-03-14 13:00:14.884000,2026-03-14 20:41:10
15,ALL,600,1023,22,23,15,ECO,85,2026-03-14 13:00:14.884000,2026-03-14 20:41:10
